Date,JPYINR18SEPFUT O,JPYINR18SEPFUT H,JPYINR18SEPFUT L,JPYINR18SEPFUT C,JPYINR18SEPFUT V
9/14/2018 12:25:00 PM,64.1325,64.1425,64.1325,64.14,85
9/14/2018 12:24:00 PM,64.125,64.1325,64.125,64.1325,11
9/14/2018 12:23:00 PM,64.125,64.135,64.1225,64.125,273
9/14/2018 12:22:00 PM,64.12,64.125,64.1175,64.125,104
9/14/2018 12:21:00 PM,64.105,64.1225,64.1,64.12,106
9/14/2018 12:20:00 PM,64.105,64.115,64.1,64.105,33
9/14/2018 12:19:00 PM,64.0875,64.105,64.08,64.105,200
9/14/2018 12:18:00 PM,64.1125,64.1125,64.08,64.0875,461
9/14/2018 12:17:00 PM,64.1325,64.14,64.1125,64.1125,205
9/14/2018 12:16:00 PM,64.1275,64.1325,64.12,64.1325,114
9/14/2018 12:15:00 PM,64.1325,64.1325,64.12,64.1275,122
9/14/2018 12:14:00 PM,64.12,64.1325,64.12,64.1325,87
9/14/2018 12:13:00 PM,64.12,64.12,64.1125,64.12,44
9/14/2018 12:12:00 PM,64.1475,64.1475,64.1075,64.12,584
9/14/2018 12:11:00 PM,64.16,64.1675,64.1325,64.1475,678
9/14/2018 12:10:00 PM,64.17,64.17,64.16,64.16,134
9/14/2018 12:09:00 PM,64.17,64.1775,64.1675,64.17,153
9/14/2018 12:08:00 PM,64.175,64.18,64.165,64.17,497
9/14/2018 12:07:00 PM,64.1675,64.175,64.1675,64.175,153
9/14/2018 12:06:00 PM,64.155,64.1675,64.155,64.1675,68
9/14/2018 12:05:00 PM,64.1825,64.1925,64.15,64.155,590
9/14/2018 12:04:00 PM,64.2125,64.2125,64.1825,64.1825,629
9/14/2018 12:03:00 PM,64.2225,64.2275,64.2125,64.2125,52
9/14/2018 12:02:00 PM,64.2275,64.2275,64.22,64.2225,359
9/14/2018 12:01:00 PM,64.2475,64.2475,64.225,64.2275,120
9/14/2018 12:00:00 PM,64.2475,64.2475,64.2475,64.2475,10
9/14/2018 11:59:00 AM,64.245,64.25,64.245,64.2475,21
9/14/2018 11:58:00 AM,64.25,64.25,64.245,64.245,9
9/14/2018 11:57:00 AM,64.26,64.26,64.2375,64.25,292
9/14/2018 11:56:00 AM,64.2725,64.2725,64.26,64.26,35
9/14/2018 11:55:00 AM,64.2725,64.2725,64.2725,64.2725,1
9/14/2018 11:54:00 AM,64.2825,64.2825,64.27,64.2725,4
9/14/2018 11:53:00 AM,64.2975,64.2975,64.2825,64.2825,7
9/14/2018 11:52:00 AM,64.3,64.3,64.295,64.2975,42
9/14/2018 11:51:00 AM,64.31,64.31,64.3,64.3,6
9/14/2018 11:50:00 AM,64.31,64.31,64.31,64.31,0
9/14/2018 11:49:00 AM,64.31,64.31,64.31,64.31,5
9/14/2018 11:48:00 AM,64.315,64.315,64.31,64.31,27
9/14/2018 11:47:00 AM,64.3025,64.315,64.3025,64.315,20
9/14/2018 11:46:00 AM,64.3025,64.3025,64.3025,64.3025,0
9/14/2018 11:45:00 AM,64.3025,64.3025,64.3025,64.3025,0
9/14/2018 11:44:00 AM,64.2975,64.31,64.2975,64.3025,11
9/14/2018 11:43:00 AM,64.3,64.3,64.2975,64.2975,1
9/14/2018 11:42:00 AM,64.31,64.31,64.3,64.3,15
9/14/2018 11:41:00 AM,64.31,64.31,64.31,64.31,2
9/14/2018 11:40:00 AM,64.285,64.31,64.285,64.31,5
9/14/2018 11:39:00 AM,64.285,64.285,64.285,64.285,0
9/14/2018 11:38:00 AM,64.285,64.285,64.285,64.285,0
9/14/2018 11:37:00 AM,64.295,64.295,64.285,64.285,53
9/14/2018 11:36:00 AM,64.305,64.305,64.295,64.295,20
9/14/2018 11:35:00 AM,64.295,64.305,64.295,64.305,14
9/14/2018 11:34:00 AM,64.295,64.295,64.295,64.295,0
9/14/2018 11:33:00 AM,64.28,64.295,64.28,64.295,190
9/14/2018 11:32:00 AM,64.28,64.28,64.28,64.28,0
9/14/2018 11:31:00 AM,64.285,64.285,64.28,64.28,30
9/14/2018 11:30:00 AM,64.2725,64.285,64.2725,64.285,9
9/14/2018 11:29:00 AM,64.27,64.2725,64.27,64.2725,1
9/14/2018 11:28:00 AM,64.2675,64.27,64.2675,64.27,5
