Date,USDINR18SEP72PE O,USDINR18SEP72PE H,USDINR18SEP72PE L,USDINR18SEP72PE C,USDINR18SEP72PE V
9/14/2018 11:33:00 AM,0.4925,0.4925,0.485,0.4875,88
9/14/2018 11:32:00 AM,0.5,0.5,0.4925,0.4925,63
9/14/2018 11:31:00 AM,0.4925,0.5,0.4925,0.5,1556
9/14/2018 11:30:00 AM,0.4925,0.4925,0.4925,0.4925,0
9/14/2018 11:29:00 AM,0.4925,0.4925,0.4925,0.4925,11
9/14/2018 11:28:00 AM,0.4975,0.5,0.4925,0.5,1031
9/14/2018 11:27:00 AM,0.4925,0.505,0.4925,0.4975,3181
9/14/2018 11:26:00 AM,0.4975,0.4975,0.4925,0.4925,1073
9/14/2018 11:25:00 AM,0.5,0.5,0.495,0.495,418
9/14/2018 11:24:00 AM,0.4925,0.5,0.4925,0.5,3006
9/14/2018 11:23:00 AM,0.49,0.4925,0.4875,0.4925,1083
9/14/2018 11:22:00 AM,0.49,0.49,0.49,0.49,0
9/14/2018 11:21:00 AM,0.4825,0.49,0.4825,0.49,60
9/14/2018 11:20:00 AM,0.4925,0.4925,0.4825,0.4825,151
9/14/2018 11:19:00 AM,0.4925,0.4925,0.49,0.4925,270
9/14/2018 11:18:00 AM,0.49,0.4925,0.4875,0.4925,2019
9/14/2018 11:17:00 AM,0.4875,0.49,0.4875,0.49,1
9/14/2018 11:16:00 AM,0.4825,0.49,0.4825,0.4875,1040
9/14/2018 11:15:00 AM,0.4875,0.4875,0.4825,0.4825,1341
9/14/2018 11:14:00 AM,0.4875,0.49,0.4825,0.4875,1383
9/14/2018 11:13:00 AM,0.4825,0.4875,0.4825,0.4875,469
9/14/2018 11:12:00 AM,0.475,0.4825,0.475,0.4825,2984
9/14/2018 11:11:00 AM,0.48,0.48,0.475,0.475,458
9/14/2018 11:10:00 AM,0.4825,0.49,0.48,0.48,1400
9/14/2018 11:09:00 AM,0.475,0.4825,0.475,0.4825,2383
9/14/2018 11:08:00 AM,0.4725,0.475,0.4725,0.475,200
9/14/2018 11:07:00 AM,0.475,0.475,0.4725,0.4725,80
9/14/2018 11:06:00 AM,0.475,0.475,0.475,0.475,0
9/14/2018 11:05:00 AM,0.4725,0.4775,0.4725,0.475,328
9/14/2018 11:04:00 AM,0.475,0.4775,0.4725,0.4725,255
9/14/2018 11:03:00 AM,0.4775,0.48,0.475,0.475,104
9/14/2018 11:02:00 AM,0.48,0.48,0.4775,0.4775,120
9/14/2018 11:01:00 AM,0.4875,0.4875,0.48,0.48,104
9/14/2018 11:00:00 AM,0.4925,0.4925,0.4875,0.4875,361
9/14/2018 10:59:00 AM,0.4975,0.4975,0.49,0.4925,672
9/14/2018 10:58:00 AM,0.5,0.5,0.4975,0.5,437
9/14/2018 10:57:00 AM,0.5025,0.505,0.5,0.5025,294
9/14/2018 10:56:00 AM,0.4925,0.5025,0.4925,0.5025,5
9/14/2018 10:55:00 AM,0.495,0.495,0.4925,0.4925,1
9/14/2018 10:54:00 AM,0.5,0.5,0.495,0.495,88
9/14/2018 10:53:00 AM,0.495,0.5,0.495,0.5,341
9/14/2018 10:52:00 AM,0.49,0.495,0.49,0.495,1
9/14/2018 10:51:00 AM,0.485,0.49,0.485,0.49,71
9/14/2018 10:50:00 AM,0.475,0.485,0.475,0.485,1
9/14/2018 10:49:00 AM,0.47,0.475,0.47,0.475,8
9/14/2018 10:48:00 AM,0.475,0.475,0.47,0.47,106
9/14/2018 10:47:00 AM,0.49,0.49,0.475,0.475,201
9/14/2018 10:46:00 AM,0.49,0.49,0.4875,0.49,51
9/14/2018 10:45:00 AM,0.495,0.495,0.49,0.49,544
9/14/2018 10:44:00 AM,0.4975,0.4975,0.495,0.495,1
9/14/2018 10:43:00 AM,0.4975,0.4975,0.4975,0.4975,150
