Date,DRREDDY-EQ O,DRREDDY-EQ H,DRREDDY-EQ L,DRREDDY-EQ C,DRREDDY-EQ V
9/14/2018 9:41:00 AM,2557.5,2560,2555.9,2558.85,914
9/14/2018 9:40:00 AM,2557,2558.65,2555.1,2557.5,2342
9/14/2018 9:39:00 AM,2558.5,2560,2557,2557,3589
9/14/2018 9:38:00 AM,2558.75,2560,2558.15,2558.95,553
9/14/2018 9:37:00 AM,2560.6,2562.8,2558,2558,921
9/14/2018 9:36:00 AM,2560.65,2561.9,2558.15,2560.85,2842
9/14/2018 9:35:00 AM,2560.75,2563,2558.05,2560.65,2075
9/14/2018 9:34:00 AM,2563,2563,2560,2560.75,1966
9/14/2018 9:33:00 AM,2558,2562,2558,2562,2106
9/14/2018 9:32:00 AM,2558.65,2559,2557.3,2558,975
9/14/2018 9:31:00 AM,2561.5,2562.35,2558,2558.65,1292
9/14/2018 9:30:00 AM,2558.5,2563,2558.5,2562.35,1425
9/14/2018 9:29:00 AM,2555.35,2559.4,2555.35,2558.5,1538
9/14/2018 9:28:00 AM,2558.1,2562,2550.5,2555.35,9098
9/14/2018 9:27:00 AM,2560.35,2562.1,2558.1,2558.1,2622
9/14/2018 9:26:00 AM,2562.75,2564,2560,2560.3,6206
9/14/2018 9:25:00 AM,2562.3,2564,2562,2562.75,2002
9/14/2018 9:24:00 AM,2564,2565,2560,2562.4,2903
9/14/2018 9:23:00 AM,2560.3,2564,2560,2564,3749
9/14/2018 9:22:00 AM,2560,2564.35,2558.05,2560,5410
9/14/2018 9:21:00 AM,2566.2,2568.4,2556.2,2559.3,10874
9/14/2018 9:20:00 AM,2564,2570,2564,2566.2,5510
9/14/2018 9:19:00 AM,2563.5,2565,2561.1,2565,3609
9/14/2018 9:18:00 AM,2566.75,2568.8,2564.25,2564.95,10334
9/14/2018 9:17:00 AM,2568.45,2574.8,2565.05,2565.05,8462
9/14/2018 9:16:00 AM,2575.6,2575.6,2566,2569.65,19494
9/14/2018 9:15:00 AM,2555.4,2575.75,2554.05,2575.75,31423
